state,total,number,standard error,percent,standard error
Alabama,4820.0,784.0,60.0,16.3,1.2
Alaska,703.0,65.0,6.0,9.2,0.9
Arizona,6728.0,1156.0,84.0,17.2,1.3
Arkansas,2951.0,475.0,27.0,16.1,0.9
California,39081.0,5441.0,211.0,13.9,0.5
Colorado,5420.0,538.0,69.0,9.9,1.3
Connecticut,3572.0,324.0,43.0,9.1,1.2
Delaware,958.0,106.0,12.0,11.1,1.2
District of Columbia,676.0,113.0,8.0,16.6,1.2
Florida,20071.0,3253.0,176.0,16.2,0.9
Georgia,10100.0,1833.0,111.0,18.1,1.1
Hawaii,1382.0,151.0,16.0,10.9,1.1
Idaho,1657.0,204.0,21.0,12.3,1.3
Illinois,12683.0,1380.0,104.0,10.9,0.8
Indiana,6502.0,880.0,72.0,13.5,1.1
Iowa,3100.0,321.0,39.0,10.4,1.3
Kansas,2849.0,404.0,42.0,14.2,1.5
Kentucky,4365.0,851.0,57.0,19.5,1.3
Louisiana,4599.0,854.0,57.0,18.6,1.2
Maine,1340.0,165.0,20.0,12.3,1.5
Maryland,5892.0,566.0,70.0,9.6,1.2
Massachusetts,6777.0,782.0,65.0,11.5,1.0
Michigan,9852.0,1259.0,98.0,12.8,1.0
Minnesota,5458.0,428.0,58.0,7.8,1.1
Mississippi,2947.0,563.0,33.0,19.1,1.1
Missouri,5946.0,582.0,71.0,9.8,1.2
Montana,1018.0,121.0,12.0,11.9,1.2
Nebraska,1858.0,192.0,18.0,10.3,1.0
Nevada,2864.0,371.0,36.0,13.0,1.3
New Hampshire,1293.0,94.0,13.0,7.3,1.0
New Jersey,8936.0,1004.0,95.0,11.2,1.1
New Mexico,2036.0,400.0,28.0,19.7,1.4
New York,19645.0,2791.0,156.0,14.2,0.8
North Carolina,9887.0,1509.0,95.0,15.3,1.0
North Dakota,763.0,82.0,12.0,10.7,1.5
Ohio,11435.0,1550.0,105.0,13.6,0.9
Oklahoma,3887.0,551.0,45.0,14.2,1.1
Oregon,4029.0,478.0,69.0,11.9,1.7
Pennsylvania,12564.0,1542.0,107.0,12.3,0.9
Rhode Island,1044.0,123.0,16.0,11.8,1.5
South Carolina,4790.0,683.0,56.0,14.3,1.2
South Dakota,848.0,118.0,10.0,13.9,1.2
Tennessee,6605.0,973.0,70.0,14.7,1.1
Texas,27396.0,4036.0,207.0,14.7,0.8
Utah,3004.0,279.0,30.0,9.3,1.0
Vermont,609.0,65.0,8.0,10.7,1.3
Virginia,8216.0,894.0,81.0,10.9,1.0
Washington,7193.0,819.0,54.0,11.4,0.8
West Virginia,1795.0,261.0,46.0,14.5,2.6
Wisconsin,5736.0,654.0,68.0,11.4,1.2
Wyoming,574.0,56.0,8.0,9.8,1.4
