state,total,number,standard error,percent,standard error
Alabama,4396.0,882.0,86.0,20.1,2.0
Alaska,630.0,45.0,8.0,7.1,1.3
Arizona,4337.0,700.0,77.0,16.1,1.8
Arkansas,2532.0,376.0,44.0,14.9,1.8
California,32055.0,5342.0,244.0,16.7,0.8
Colorado,3793.0,335.0,54.0,8.8,1.4
Connecticut,3276.0,318.0,55.0,9.7,1.7
Delaware,713.0,74.0,12.0,10.3,1.7
D.C.,551.0,122.0,13.0,22.2,2.3
Florida,14306.0,2321.0,140.0,16.2,1.0
Georgia,7262.0,878.0,106.0,12.1,1.5
Hawaii,1187.0,122.0,20.0,10.3,1.7
Idaho,1154.0,167.0,20.0,14.5,1.7
Illinois,11761.0,1459.0,115.0,12.4,1.0
Indiana,5673.0,545.0,84.0,9.6,1.5
Iowa,2894.0,352.0,48.0,12.2,1.7
Kansas,2535.0,273.0,41.0,10.8,1.6
Kentucky,3876.0,572.0,68.0,14.7,1.8
Louisiana,4306.0,849.0,82.0,19.7,1.9
Maine,1225.0,138.0,22.0,11.2,1.8
Maryland,5133.0,520.0,82.0,10.1,1.6
Massachusetts,6065.0,665.0,70.0,11.0,1.2
Michigan,9637.0,1174.0,100.0,12.2,1.0
Minnesota,4628.0,427.0,67.0,9.2,1.4
Mississippi,2685.0,630.0,56.0,23.5,2.1
Missouri,5140.0,484.0,79.0,9.4,1.5
Montana,870.0,133.0,15.0,15.3,1.8
Nebraska,1648.0,159.0,25.0,9.6,1.5
Nevada,1558.0,173.0,26.0,11.1,1.7
New Hampshire,1139.0,60.0,15.0,5.3,1.3
New Jersey,7879.0,617.0,70.0,7.8,0.9
New Mexico,1806.0,457.0,37.0,25.3,2.1
New York,18258.0,3020.0,153.0,16.5,0.8
North Carolina,6935.0,877.0,86.0,12.6,1.3
North Dakota,635.0,76.0,11.0,12.0,1.7
Ohio,11211.0,1285.0,110.0,11.5,1.0
Oklahoma,3204.0,548.0,59.0,17.1,1.8
Oregon,3208.0,360.0,53.0,11.2,1.7
Pennsylvania,12031.0,1464.0,113.0,12.2,0.9
Rhode Island,962.0,102.0,17.0,10.6,1.8
South Carolina,3741.0,744.0,79.0,19.9,2.1
South Dakota,713.0,103.0,13.0,14.5,1.8
Tennessee,5462.0,846.0,100.0,15.5,1.8
Texas,18761.0,3270.0,184.0,17.4,1.0
Utah,1999.0,168.0,26.0,8.4,1.3
Vermont,593.0,61.0,10.0,10.3,1.7
Virginia,6371.0,648.0,95.0,10.2,1.5
Washington,5424.0,677.0,95.0,12.5,1.8
West Virginia,1793.0,300.0,32.0,16.7,1.8
Wisconsin,5300.0,449.0,72.0,8.5,1.4
Wyoming,482.0,59.0,8.0,12.2,1.7
